City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,east london,-33.0153,27.9116,296.2,84,98,5.36,ZA,1710278607
83,kapa'a,22.0752,-159.319,300.14,78,75,6.17,US,1710278607
84,daru,-9.0763,143.2092,298.8,85,100,6.21,PG,1710278607
85,howrah,22.5892,88.3103,300.15,83,40,3.6,IN,1710278608
86,lindi,-10.0,39.7167,297.36,94,43,0.86,TZ,1710278608
87,west island,-12.1568,96.8225,297.14,94,100,0.0,CC,1710278608
88,oakhurst,40.2709,-74.0163,292.28,32,0,7.72,US,1710278608
89,tegueste,28.5167,-16.3167,290.97,80,40,1.03,ES,1710278608
90,amga,60.8953,131.9608,258.23,98,100,1.24,RU,1710278609
91,albany,42.6001,-73.9662,287.07,34,3,1.79,US,1710278609
92,alipur duar,42.6001,-73.9662,287.07,34,3,1.79,US,1710278609
93,kirando,-7.4167,30.6,296.41,84,52,2.63,TZ,1710278609
94,tiksi,71.6872,128.8694,252.91,99,100,2.11,RU,1710278609
95,sao felix do xingu,-6.6447,-51.995,302.42,74,51,0.91,BR,1710278610
96,wailua homesteads,22.0669,-159.378,299.39,78,75,6.17,US,1710278610
97,hermanus,-34.4187,19.2345,290.26,82,46,1.66,ZA,1710278610
98,touros,-5.1989,-35.4608,301.29,77,42,2.81,BR,1710278555
99,kattivakkam,13.2167,80.3167,300.2,76,1,4.07,IN,1710278610
100,kachia,9.8667,7.95,301.42,44,100,2.08,NG,1710278610
101,oriximina,-1.7656,-55.8661,303.28,70,96,1.75,BR,1710278611
102,al jawf,29.5,38.75,289.72,23,0,5.85,SA,1710278611
103,port alfred,-33.5906,26.891,293.81,95,99,1.34,ZA,1710278611
104,tura,25.5198,90.2201,291.81,38,1,2.17,IN,1710278611
105,anadyr,64.75,177.4833,250.43,77,20,3.0,RU,1710278611
106,lichinga,-13.3128,35.2406,293.2,88,40,2.06,MZ,1710278611
107,ancud,-41.8697,-73.8203,287.61,76,79,5.45,CL,1710278612
108,fort st. john,56.2499,-120.8529,272.09,69,75,2.57,CA,1710278612
109,nar'yan-mar,67.6713,53.087,267.65,80,100,8.49,RU,1710278612
110,hashtrud,37.4779,47.0508,276.95,51,27,0.62,IR,1710278612
111,tsiombe,-25.3,45.4833,299.75,70,100,2.75,MG,1710278612
112,tangping,22.0265,111.9323,289.9,77,81,2.22,CN,1710278613
113,mount pearl,47.5166,-52.7813,276.33,90,75,2.06,CA,1710278613
114,whitehorse,60.7161,-135.0538,273.72,51,75,7.2,CA,1710278530
115,banff,51.1762,-115.5698,279.72,42,93,4.12,CA,1710278417
116,chibougamau,49.9168,-74.3659,268.94,86,100,3.09,CA,1710278613
117,xining,36.6167,101.7667,273.15,43,6,0.21,CN,1710278614
118,tofol,5.3248,163.0078,300.64,86,100,9.5,FM,1710278614
119,tanumah,27.1,44.1333,289.64,22,17,4.61,SA,1710278614
120,walvis bay,-22.9575,14.5053,293.68,73,66,1.03,NA,1710278404
121,mount isa,-20.7333,139.5,291.02,82,0,0.0,AU,1710278614
122,russkaya polyana,49.417,31.9201,275.62,61,100,5.71,UA,1710278580
123,novoishimskiy,53.1981,66.7694,259.9,98,98,1.52,KZ,1710278614
124,tazovsky,67.4667,78.7,253.11,88,100,9.16,RU,1710278370
125,mana,5.6592,-53.7767,300.99,78,87,4.64,GF,1710278615
126,timimoun,29.2639,0.231,293.36,22,0,5.66,DZ,1710278615
127,susuman,62.7833,148.1667,243.14,100,98,0.45,RU,1710278615
128,amalapuram,16.5833,82.0167,296.67,90,10,0.8,IN,1710278615
129,anaconda,46.1285,-112.9423,280.7,53,89,5.0,US,1710278615
130,am timan,11.0297,20.2827,306.22,16,58,1.42,TD,1710278616
131,bardai,11.65,7.2333,303.6,11,100,3.79,NG,1710278616
132,djambala,-2.5447,14.7533,297.91,70,43,0.92,CG,1710278616
133,margate,51.3813,1.3862,284.75,93,100,3.58,GB,1710278616
134,enewetak,11.3474,162.3373,299.87,76,100,10.14,MH,1710278616
135,vuktyl,63.8567,57.3094,258.28,97,100,4.51,RU,1710278616
136,prado,-17.3411,-39.2208,299.22,88,42,3.28,BR,1710278617
137,tromso,69.6496,18.957,272.16,74,75,6.69,NO,1710278497
138,sawang daen din,17.4753,103.4575,298.2,100,60,1.91,TH,1710278617
139,qaqortoq,60.7167,-46.0333,265.12,94,19,1.28,GL,1710278617
140,argo,37.6333,22.7333,285.25,72,79,2.32,GR,1710278338
141,akyurt,40.1351,33.0861,284.89,61,75,1.54,TR,1710278617
142,tokar,18.4254,37.729,298.11,82,11,3.82,SD,1710278617
143,puerto real,36.5282,-6.1901,289.24,48,0,6.17,ES,1710278445
144,invercargill,-46.4,168.35,284.27,82,95,2.68,NZ,1710278618
145,winthrop harbor,42.4789,-87.8237,294.71,46,0,9.77,US,1710278618
146,fortuna,40.5982,-124.1573,286.29,91,75,5.66,US,1710278618
147,ilulissat,69.2167,-51.1,262.16,92,75,1.03,GL,1710278618
148,aykhal,66.0,111.5,242.35,100,67,0.23,RU,1710278597
149,outjo,-20.1167,16.15,297.57,46,94,3.93,NA,1710278619
150,paka,4.6374,103.4368,296.11,94,94,0.0,MY,1710278619
151,crane,31.3974,-102.3501,299.05,14,100,3.97,US,1710278619
152,nagqu,31.5,92.0,265.27,47,10,1.66,CN,1710278619
153,codrington,-38.2667,141.9667,287.19,84,100,4.35,AU,1710278620
154,ketchikan,55.3422,-131.6461,279.41,87,100,4.63,US,1710278620
155,kodiak,57.79,-152.4072,271.88,51,100,6.17,US,1710278620
156,sitka,57.0531,-135.33,277.09,81,100,5.14,US,1710278620
157,selfoss,63.9331,-20.9971,277.62,96,100,4.68,IS,1710278620
158,thompson,55.7435,-97.8558,266.24,86,100,3.6,CA,1710278620
159,ravar,31.2656,56.8055,282.77,52,0,0.5,IR,1710278513
160,rio grande,-32.035,-52.0986,300.21,79,100,7.58,BR,1710278621
161,kirillov,59.863,38.3813,268.7,93,100,2.4,RU,1710278621
162,areado,-21.3586,-46.1456,299.35,62,29,2.29,BR,1710278621
163,vernon,50.2581,-119.2691,286.35,59,94,1.54,CA,1710278621
164,bredasdorp,-34.5322,20.0403,291.58,78,11,0.62,ZA,1710278622
165,faya-largeau,17.9257,19.1043,300.84,8,19,2.85,TD,1710278622
166,noumea,-22.2763,166.4572,300.14,99,99,5.41,NC,1710278622
167,talgram,27.05,79.65,293.23,33,0,3.2,IN,1710278622
168,kimbe,-5.5502,150.1429,298.27,94,100,1.49,PG,1710278622
169,sidi ifni,29.3797,-10.173,290.01,86,24,1.6,MA,1710278623
170,isafjordur,66.0755,-23.124,275.09,92,100,4.19,IS,1710278623
171,tshabong,-26.05,22.45,302.14,27,88,3.64,BW,1710278623
172,ejido benito juarez,-26.05,22.45,302.14,27,88,3.64,BW,1710278623
173,gargalianoi,37.0667,21.6333,283.9,80,21,5.28,GR,1710278623
174,acarau,-2.8856,-40.12,300.71,81,55,4.27,BR,1710278623
175,taiohae,-2.8856,-40.12,300.71,81,55,4.27,BR,1710278623
